"","Name","Sex","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"135","Centurio_senex","Not mentioned",1558.9,119,"Centurio_senex","Mammal","Chiroptera","No","No","No","Others"
"136","Cerdocyon_thous","F",1344.2,70,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No","Canidae"
"137","Cerdocyon_thous","M",1390.6,71,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No","Canidae"
"138","Cerdocyon_thous","Not mentioned",1392.6,40,"Cerdocyon_thous","Mammal","Canidae","Yes","Yes","No","Canidae"
"139","Chelonoidis_porteri","F",1265.4,44,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
"140","Chelonoidis_porteri","M",1263.5,34,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
"141","Chelonoidis_porteri","Not mentioned",1342.2,45,"Chelonoidis_porteri","Squamata","Tortoise","No","No","No","Others"
"142","Choloepus_didactylus","F",1307.2,31,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"143","Choloepus_didactylus","M",1312.9,17,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"144","Choloepus_didactylus","Not mentioned",1331.2,30,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"145","Choloepus_didactylus2","F",1207.7,38,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"146","Choloepus_didactylus2","M",1263,23,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"147","Choloepus_didactylus2","Not mentioned",1211.8,17,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"148","Choloepus_didactylus3","F",1186.8,25,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"149","Choloepus_didactylus3","M",1276.8,13,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"150","Choloepus_didactylus3","Not mentioned",1350.7,68,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"151","Chroicocephalus_scopulinus","F",1386.5,65,"Chroicocephalus_scopulinus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"152","Chroicocephalus_scopulinus","M",1360.1,55,"Chroicocephalus_scopulinus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"153","Chroicocephalus_scopulinus","Not mentioned",1402.6,83,"Chroicocephalus_scopulinus","Bird","Bird(notRaptor)","No","Yes","No","Others"
"154","Columba_livia","F",1243,36,"Columba_livia","Bird","Bird(notRaptor)","No","No","No","Others"
"155","Columba_livia","M",1292,18,"Columba_livia","Bird","Bird(notRaptor)","No","No","No","Others"
"156","Columba_livia","Not mentioned",1326.3,52,"Columba_livia","Bird","Bird(notRaptor)","No","No","No","Others"
"157","Conolophus_pallidus","F",1692.4,186,"Conolophus_pallidus","Squamata","Lizard","No","No","No","Others"
"158","Conolophus_pallidus","M",1605.7,160,"Conolophus_pallidus","Squamata","Lizard","No","No","No","Others"
"159","Conolophus_pallidus","Not mentioned",1670.3,163,"Conolophus_pallidus","Squamata","Lizard","No","No","No","Others"
"160","Corvus","F",1490.8,88,"Corvus","Bird","Bird(notRaptor)","No","No","No","Others"
"161","Corvus","M",1455.7,107,"Corvus","Bird","Bird(notRaptor)","No","No","No","Others"
"162","Corvus","Not mentioned",1388.7,54,"Corvus","Bird","Bird(notRaptor)","No","No","No","Others"
"163","Corvus2","F",1372.2,42,"Corvus","Bird","Bird(notRaptor)","No","No","No","Others"
"164","Corvus2","M",1382.8,79,"Corvus","Bird","Bird(notRaptor)","No","No","No","Others"
"165","Corvus2","Not mentioned",1333.7,29,"Corvus","Bird","Bird(notRaptor)","No","No","No","Others"
"166","Crocodylus_porosus","F",2049.3,220,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes","Crocodile"
"167","Crocodylus_porosus","M",1963.3,221,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes","Crocodile"
"168","Crocodylus_porosus","Not mentioned",1744.6,198,"Crocodylus_porosus","Squamata","Crocodile","Yes","Yes","Yes","Crocodile"
"169","Crocuta_crocuta","F",1749.1,183,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes","Hyenidae"
"170","Crocuta_crocuta","M",1783.9,195,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes","Hyenidae"
"171","Crocuta_crocuta","Not mentioned",1728.1,194,"Crocuta_crocuta","Mammal","Hyenidae","Yes","No","Yes","Hyenidae"
"172","Crotalus_atrox","F",1813.6,204,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"173","Crotalus_atrox","M",1865.4,212,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"174","Crotalus_atrox","Not mentioned",1733.5,201,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"175","Crotalus2","F",1939,221,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"176","Crotalus2","M",1872.4,214,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"177","Crotalus2","Not mentioned",1680.3,185,"Crotalus_atrox","Squamata","Snake","No","Yes","Yes","Snake"
"178","Cryptoprocto _ferox","F",1519.8,133,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No","Felidae"
"179","Cryptoprocto _ferox","M",1574.3,139,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No","Felidae"
