"Name","Sex","EloScore","EloRank"
"Acinonyx_jubatus2","Not mentioned",1693.8,168
"Acryllium_vulturinum","Not mentioned",1490.9,91
"Aepyceros_melampus","Not mentioned",1389.3,59
"Aepyceros_melampus2","Not mentioned",1410.6,62
"Agalychnis_callidryas","Not mentioned",1514.4,113
"Ailuropoda_melanoleuca","Not mentioned",1336.5,27
"Ailurops_ursinus","Not mentioned",1348.7,41
"Ailurus_fulgens","Not mentioned",1292.2,21
"Alligator_mississippiensis","Not mentioned",1812.9,218
"Amblyrhynchus_cristatus","Not mentioned",1682.5,184
"Aonyx_cinereus","Not mentioned",1290.4,26
"Aonyx_cinereus2","Not mentioned",1275.3,25
"Aquila_chrysaetos","Not mentioned",1419.3,78
"Ara_ararauna","Not mentioned",1478.2,84
"Ara_chloropterus","Not mentioned",1198.4,11
"Arctocephalus forsteri","Not mentioned",1564.5,133
"Arctocephalus_forsteri2","Not mentioned",1400.8,74
"Artibeus_planirostris","Not mentioned",1494.3,118
"Asio_flammeus","Not mentioned",1132.7,2
"Ateles_hybridus","Not mentioned",1647.8,172
"Ateles_paniscus","Not mentioned",1304.1,23
"Athene_noctua","Not mentioned",1201.7,7
"Athene_noctua2","Not mentioned",1344.9,44
"Athene_noctua3","Not mentioned",1163.8,6
"Balaeniceps_rex","Not mentioned",1668.8,181
"Bison_bonasus","Not mentioned",1763,193
"Bison_bonasus2","Not mentioned",1590.7,156
"Boa_constrictor","Not mentioned",1580.9,170
"Bubo_bubo","Not mentioned",1373.6,43
"Bubo_bubo2","Not mentioned",1256.2,18
"Bubo_scandiacus","Not mentioned",1371,46
"Bufonidae","Not mentioned",1723,207
"Buprestidae","Not mentioned",1690.1,188
"Buteo_galapagoensis","Not mentioned",1344.2,64
"Cairina_moschata","Not mentioned",1510.2,104
"Calliphora_vomitoria","Not mentioned",1556.2,151
"Callithrix_argentata","Not mentioned",1531.2,130
"Callithrix_penicillata","Not mentioned",1341.3,50
"Calloselasma rhodostoma","Not mentioned",1743.8,204
"Canis_lupus","Not mentioned",1518.9,124
"Canis_lupus_familiaris","Not mentioned",1570.4,146
"Canis_lupus_familiaris2","Not mentioned",1399.8,37
"Carlito_syrichta","Not mentioned",1479.9,110
"Centurio_senex","Not mentioned",1558.9,119
"Cerdocyon_thous","Not mentioned",1392.6,40
"Chelonoidis_porteri","Not mentioned",1342.2,45
"Choloepus_didactylus","Not mentioned",1331.2,30
"Choloepus_didactylus2","Not mentioned",1211.8,17
"Choloepus_didactylus3","Not mentioned",1350.7,68
"Chroicocephalus_scopulinus","Not mentioned",1402.6,83
"Columba_livia","Not mentioned",1326.3,52
"Conolophus_pallidus","Not mentioned",1670.3,163
"Corvus","Not mentioned",1388.7,54
"Corvus2","Not mentioned",1333.7,29
"Crocodylus_porosus","Not mentioned",1744.6,198
"Crocuta_crocuta","Not mentioned",1728.1,194
"Crotalus_atrox","Not mentioned",1733.5,201
"Crotalus2","Not mentioned",1680.3,185
"Cryptoprocto _ferox","Not mentioned",1496.6,126
"Cynictis_penicillata","Not mentioned",1495.1,128
"Dasypus_novemcinctus","Not mentioned",1263.1,14
"Daubentonia_madagascariensis","Not mentioned",1493.6,109
"Dendroaspis_angusticeps","Not mentioned",1776.9,203
"Desmodus_rotondus","Not mentioned",1462.4,106
"Didelphis_virginiana","Not mentioned",1611.3,152
"Equus_caballus","Not mentioned",1353.2,56
"Eudyptes chrysolophus","Not mentioned",1285.5,24
"Eudyptes_chrysocome","Not mentioned",1559,121
"Eulemur _coronatus","Not mentioned",1512.1,87
"Eulemur _coronatus2","Not mentioned",1312.9,51
"Euphractus _sexcinctus","Not mentioned",1475.9,72
"Evarcha_arcuata","Not mentioned",1504.2,98
"Felis_catus","Not mentioned",1339.6,42
"Felis_silvestris","Not mentioned",1077.2,1
"Geronticus_eremita","Not mentioned",1692.9,192
