"name","F","M","Not mentioned","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Theropithecus_gelada",1708.5,1715.7,1655,"Theropithecus_gelada","Mammal","Primate","No","No","No"
"Thomisus_onustus",1769.8,1729.4,1727.5,"Thomisus_onustus","Spider","Spider","No","Yes","No"
"Tockus_flavirostris",1520.5,1485.6,1490.4,"Tockus_flavirostris","Bird","Bird(notRaptor)","No","No","No"
"Trichosurus_vulpecula",1435.9,1472.6,1466,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No"
"Ursus_arctos_horribilis",1785.4,1778.2,1716.4,"Ursus_arctos_horribilis","Mammal","Ursus","Yes","No","Yes"
"Ursus_maritimus",1672.1,1762,1713.6,"Ursus_maritimus","Mammal","Ursus","Yes","No","Yes"
"Ursus_thibetanus",1704.5,1731.7,1723,"Ursus_thibetanus","Mammal","Ursus","No","Yes","Yes"
"Varecia_rubra",1381.8,1372.9,1526.3,"Varecia_rubra","Mammal","Primate","No","No","No"
"Varecia_variegata",1396.3,1325.7,1411.1,"Varecia_variegata","Mammal","Primate","No","No","No"
"Vespula_germanica",1640.7,1716.8,1582.4,"Vespula_germanica","Insect","Hymenoptera","No","Yes","Yes"
"Vicugna_pacos",1331.8,1336.7,1206.3,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Vicugna_pacos2",1343.3,1324.2,1400,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Vicugna_vicugna",1195.1,1203.5,1430.6,"Vicugna_vicugna","Mammal","Ungulate","No","No","No"
"Vipera_ammodytes",1838.7,1811.4,1907.3,"Vipera_ammodytes","Squamata","Snake","No","Yes","Yes"
"Vipera_aspis",1820.5,1816.6,1891.7,"Vipera_aspis","Squamata","Snake","No","Yes","Yes"
"Vulpes_zerda",1289.7,1246.3,1282.5,"Vulpes_zerda","Mammal","Canidae","No","Yes","No"
"Zamenis_longissimus",1792.5,1716.6,1646.8,"Zamenis_longissimus","Squamata","Snake","No","Yes","No"
"Zoropsis_spinimana",1780.9,1736.6,1480,"Zoropsis_spinimana","Spider","Spider","No","Yes","No"
