"Name","Sex","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Gulo_gulo","F",1489.4,136,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo","M",1560.4,147,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo","Not mentioned",1574.1,145,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo2","F",1555.8,120,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo2","M",1648.7,171,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gulo_gulo2","Not mentioned",1456.3,89,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No"
"Gymnogyps_californianus","F",1705.5,157,"Gymnogyps_californianus","Bird","Raptor","No","No","No"
"Gymnogyps_californianus","M",1654.9,150,"Gymnogyps_californianus","Bird","Raptor","No","No","No"
"Gymnogyps_californianus","Not mentioned",1543.5,135,"Gymnogyps_californianus","Bird","Raptor","No","No","No"
"Gypaetus_barbatus","F",1499.3,116,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gypaetus_barbatus","M",1488.4,72,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gypaetus_barbatus","Not mentioned",1413.2,63,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gypaetus_barbatus2","F",1525.1,123,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gypaetus_barbatus2","M",1472.8,74,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gypaetus_barbatus2","Not mentioned",1644.5,176,"Gypaetus_barbatus","Bird","Raptor","No","Yes","No"
"Gyps_rueppelli","F",1550.8,137,"Gyps_rueppelli","Bird","Raptor","No","No","No"
"Gyps_rueppelli","M",1574.2,128,"Gyps_rueppelli","Bird","Raptor","No","No","No"
"Gyps_rueppelli","Not mentioned",1574.8,141,"Gyps_rueppelli","Bird","Raptor","No","No","No"
