"name","variable","value"
"Euphractus _sexcinctus","Not mentioned",1475.9
"Evarcha_arcuata","Not mentioned",1504.2
"Felis_catus","Not mentioned",1339.6
"Felis_silvestris","Not mentioned",1077.2
"Geronticus_eremita","Not mentioned",1692.9
"Giraffa_camelopardalis_reticulata","Not mentioned",1381.1
"Gorilla_Gorilla_Beringei","Not mentioned",1618.7
"Gorilla_gorilla_gorilla","Not mentioned",1486.7
"Gulo_gulo","Not mentioned",1574.1
"Gulo_gulo2","Not mentioned",1456.3
"Gymnogyps_californianus","Not mentioned",1543.5
"Gypaetus_barbatus","Not mentioned",1413.2
"Gypaetus_barbatus2","Not mentioned",1644.5
"Gyps_rueppelli","Not mentioned",1574.8
"Haematopus_ater","Not mentioned",1424.4
"Harpia_Harpyja","Not mentioned",1329.5
"Helarctos_malayanus","Not mentioned",1674.7
"Hemicentetes_semispinosus","Not mentioned",1468.6
"Heterocephalus_glaber","Not mentioned",1576
"Hippopotamus_amphibius","Not mentioned",1634
"Hyaena_hyaena","Not mentioned",1620.2
"Hyles_euphorbiae","Not mentioned",1377.8
"Hylobates_agilis","Not mentioned",1382.1
"Hypsignathus_monstrosus","Not mentioned",1554.5
"Iguana_iguana","Not mentioned",1423.2
"Iguana_iguana2","Not mentioned",1470.5
"Incilius_alvarius","Not mentioned",1337.9
"Incilius_alvarius2","Not mentioned",1512.1
"Intellagama_lesueurii","Not mentioned",1558.2
"Laticauda_laticaudata","Not mentioned",1680
"Laticauda_saintgironsi","Not mentioned",1621.2
"Lemur_catta","Not mentioned",1312.8
"Lemur_catta2","Not mentioned",1473.2
"Leopardus_wiedii","Not mentioned",1575.7
"Leptailurus_serval","Not mentioned",1408.6
"Leptoptilos_crumenifer","Not mentioned",1480.5
"Libellula_quadrimaculata","Not mentioned",1605.1
"Litoria_infrafrenata","Not mentioned",1450.5
"Loris_tardigradus","Not mentioned",1276
"Loxodonta_africana","Not mentioned",1527.4
"Lycaon_pictus","Not mentioned",1665.3
"Lycaon_pictus2","Not mentioned",1702.8
"Lynx_rufus","Not mentioned",1720.5
"Lynx_rufus2","Not mentioned",1579.4
"Macaca_fuscata","Not mentioned",1558.6
"Macaca_silenus","Not mentioned",1478.4
"Macronectes_halli","Not mentioned",1606.2
"Macropus_rufogriseus","Not mentioned",1400.7
"Malayopython_reticulatus","Not mentioned",1750.2
"Malpolon_monspessulanus","Not mentioned",1616.5
"Mandrillus_sphinx","Not mentioned",1806.4
"Mandrillus_sphinx2","Not mentioned",1554.8
"Miopithecus_ogouensis","Not mentioned",1471.1
"Morelia_spilota","Not mentioned",1627.9
"Mungos_mungo","Not mentioned",1565.5
"Muscardinus_avellanarius","Not mentioned",1226.3
"Mygale","Not mentioned",1715.6
"Myocastor_coypus","Not mentioned",1191.5
"Naja_naja","Not mentioned",1722.4
"Nasua_narica","Not mentioned",1643.6
"Nasua_nasua","Not mentioned",1404.1
"Necrosyrtes_monachus","Not mentioned",1385.4
"Neofelis_nebulosa","Not mentioned",1628.6
"Nestor_meridionalis","Not mentioned",1358.6
"Notechis_scutatus","Not mentioned",1758.2
"Numida_meleagris","Not mentioned",1576.6
"Nyctereutes_procyonoides","Not mentioned",1458.8
"Odonata","Not mentioned",1458.3
"Odonata2","Not mentioned",1358.6
"Oryctolagus_cuniculus","Not mentioned",1152.6
"Oryctolagus_cuniculus2","Not mentioned",1234.3
"Otocolobus_manul","Not mentioned",1443.1
"Pamphagidae","Not mentioned",1396.5
"Pan_paniscus","Not mentioned",1462.9
"Pan_paniscus2","Not mentioned",1690.6
"Pan_paniscus3","Not mentioned",1484.3
"Pan_paniscus4","Not mentioned",1424.2
"Pan_troglodytes","Not mentioned",1605.4
"Pan_troglodytes2","Not mentioned",1510.9
"Panthera_leo","Not mentioned",1624
"Panthera_leo2","Not mentioned",1728
"Panthera_leo3","Not mentioned",1616.9
"Panthera_onca","Not mentioned",1750.8
"Panthera_onca_2","Not mentioned",1766.9
"Panthera_onca3","Not mentioned",1827.2
"Panthera_pardus","Not mentioned",1766.3
"Panthera_pardus_3","Not mentioned",1608.9
"Panthera_pardus2","Not mentioned",1624.3
"Panthera_tigris2","Not mentioned",1663.4
"Panthera_uncia","Not mentioned",1661.4
"Papillon","Not mentioned",1477.1
"Papio_hamadryas","Not mentioned",1614.2
"Pardofelis_temminckii","Not mentioned",1536.3
"Petroica_macrocephala","Not mentioned",1190.2
"Phacochoerus_africanus","Not mentioned",1733.4
"Phascolarctos_cinereus","Not mentioned",1277.4
"Phascolarctos_cinereus2","Not mentioned",1165
"Pholcus_phalangioides","Not mentioned",1808.1
"Pithecia pithecia","Not mentioned",1603.4
"Pithecia pithecia2","Not mentioned",1507.5
"Plathyrrhinus_fusciventris","Not mentioned",1385.3
"Podarcis_muralis","Not mentioned",1510
"Pogona_vitticeps","Not mentioned",1527.7
"Porphyrio_hochstetteri","Not mentioned",1426.9
"Procyon_lotor","Not mentioned",1317.1
"Propithecus_coquereli","Not mentioned",1328.3
"Propithecus_verreauxi","Not mentioned",1314.6
"Psittacus_erithacus","Not mentioned",1459.6
"Pteropus_conspicillatus","Not mentioned",1422.6
"Puma_concolor","Not mentioned",1746.4
"Python_bivittatus","Not mentioned",1737.1
"Python_regius","Not mentioned",1659.9
"Rattus_norvegicus","Not mentioned",1316.6
"Rhinopithecus_roxellana","Not mentioned",1390.9
"Rhyticeros_cassidix","Not mentioned",1344.4
"Romalea_microptera","Not mentioned",1449.9
"Saiga_tatarica","Not mentioned",1478.4
"Sarcophilus_harrisii","Not mentioned",1774.6
"Spalax","Not mentioned",1254.7
"Spheniscus_humboldti","Not mentioned",1183.9
"Stephanoaetus_coronatus","Not mentioned",1575.3
"Strophurus","Not mentioned",1308.1
"Struthio_camelus","Not mentioned",1631.2
"Sula_nebouxii","Not mentioned",1445.7
"Sula_sula","Not mentioned",1482.4
"Suricata_suricatta","Not mentioned",1324.9
"Sus_scrofa","Not mentioned",1543.6
"Tapirus_indicus","Not mentioned",1486
"Taricha_torosa","Not mentioned",1486.8
"Tauraco_leucotis","Not mentioned",1255.6
"Testudo_hermanni","Not mentioned",1330.1
"Thalassarche_cauta","Not mentioned",1556.5
"Theropithecus_gelada","Not mentioned",1638.6
"Thomisus_onustus","Not mentioned",1717.6
"Tockus_flavirostris","Not mentioned",1424.7
"Trichosurus_vulpecula","Not mentioned",1471.4
"Ursus_arctos_horribilis","Not mentioned",1768.7
"Ursus_maritimus","Not mentioned",1716.1
"Ursus_thibetanus","Not mentioned",1697.7
"Varecia_rubra","Not mentioned",1550.4
"Varecia_variegata","Not mentioned",1425.5
"Vespula_germanica","Not mentioned",1607.2
"Vicugna_pacos","Not mentioned",1198.3
"Vicugna_pacos2","Not mentioned",1449.5
"Vicugna_vicugna","Not mentioned",1416.2
"Vipera_ammodytes","Not mentioned",1880.5
"Vipera_aspis","Not mentioned",1882.2
"Vulpes_zerda","Not mentioned",1255.3
"Zamenis_longissimus","Not mentioned",1647.4
"Zoropsis_spinimana","Not mentioned",1487.5
