"name","variable","value"
"Callithrix_penicillata","M",69
"Calloselasma rhodostoma","M",218
"Canis_lupus","M",149
"Canis_lupus_familiaris","M",161
"Canis_lupus_familiaris2","M",40
"Carlito_syrichta","M",59
"Centurio_senex","M",167
"Cerdocyon_thous","M",71
"Chelonoidis_porteri","M",34
"Choloepus_didactylus","M",17
"Choloepus_didactylus2","M",23
"Choloepus_didactylus3","M",13
"Chroicocephalus_scopulinus","M",55
"Columba_livia","M",18
"Conolophus_pallidus","M",160
"Corvus","M",107
"Corvus2","M",79
"Crocodylus_porosus","M",221
"Crocuta_crocuta","M",195
"Crotalus_atrox","M",212
"Crotalus2","M",214
"Cryptoprocto _ferox","M",139
