"name","variable","value"
"Columba_livia","High school diploma",15
"Conolophus_pallidus","High school diploma",184
"Corvus","High school diploma",117
"Corvus2","High school diploma",46
"Crocodylus_porosus","High school diploma",217
"Crocuta_crocuta","High school diploma",186
"Crotalus_atrox","High school diploma",168
"Crotalus2","High school diploma",214
"Cryptoprocto _ferox","High school diploma",119
"Cynictis_penicillata","High school diploma",114
"Dasypus_novemcinctus","High school diploma",82
"Daubentonia_madagascariensis","High school diploma",133
"Dendroaspis_angusticeps","High school diploma",187
"Desmodus_rotondus","High school diploma",161
"Didelphis_virginiana","High school diploma",95
"Equus_caballus","High school diploma",19
"Eudyptes chrysolophus","High school diploma",20
"Eudyptes_chrysocome","High school diploma",79
"Eulemur _coronatus","High school diploma",51
"Eulemur _coronatus2","High school diploma",66
"Euphractus _sexcinctus","High school diploma",126
"Evarcha_arcuata","High school diploma",197
"Felis_catus","High school diploma",22
"Felis_silvestris","High school diploma",8
"Geronticus_eremita","High school diploma",75
"Giraffa_camelopardalis_reticulata","High school diploma",38
"Gorilla_Gorilla_Beringei","High school diploma",139
"Gorilla_gorilla_gorilla","High school diploma",171
"Gulo_gulo","High school diploma",57
"Gulo_gulo2","High school diploma",110
"Gymnogyps_californianus","High school diploma",137
"Gypaetus_barbatus","High school diploma",103
"Gypaetus_barbatus2","High school diploma",130
"Gyps_rueppelli","High school diploma",138
"Haematopus_ater","High school diploma",73
"Harpia_Harpyja","High school diploma",112
"Helarctos_malayanus","High school diploma",146
"Hemicentetes_semispinosus","High school diploma",132
"Heterocephalus_glaber","High school diploma",150
"Hippopotamus_amphibius","High school diploma",170
"Hyaena_hyaena","High school diploma",183
"Hyles_euphorbiae","High school diploma",157
"Hylobates_agilis","High school diploma",99
"Hypsignathus_monstrosus","High school diploma",195
"Iguana_iguana","High school diploma",135
"Iguana_iguana2","High school diploma",141
"Incilius_alvarius","High school diploma",121
"Incilius_alvarius2","High school diploma",77
"Intellagama_lesueurii","High school diploma",156
"Laticauda_laticaudata","High school diploma",194
"Laticauda_saintgironsi","High school diploma",205
"Lemur_catta","High school diploma",84
"Lemur_catta2","High school diploma",50
"Leopardus_wiedii","High school diploma",78
"Leptailurus_serval","High school diploma",116
"Leptoptilos_crumenifer","High school diploma",180
"Libellula_quadrimaculata","High school diploma",129
"Litoria_infrafrenata","High school diploma",68
"Loris_tardigradus","High school diploma",6
"Loxodonta_africana","High school diploma",80
"Lycaon_pictus","High school diploma",189
"Lycaon_pictus2","High school diploma",206
"Lynx_rufus","High school diploma",167
"Lynx_rufus2","High school diploma",152
"Macaca_fuscata","High school diploma",102
"Macaca_silenus","High school diploma",88
"Macronectes_halli","High school diploma",158
"Macropus_rufogriseus","High school diploma",93
"Malayopython_reticulatus","High school diploma",201
"Malpolon_monspessulanus","High school diploma",209
"Mandrillus_sphinx","High school diploma",160
"Mandrillus_sphinx2","High school diploma",101
"Miopithecus_ogouensis","High school diploma",53
"Morelia_spilota","High school diploma",190
"Mungos_mungo","High school diploma",181
"Muscardinus_avellanarius","High school diploma",9
