"name","variable","value"
"Centurio_senex","High school diploma",1639.2
"Cerdocyon_thous","High school diploma",1373.4
"Chelonoidis_porteri","High school diploma",1299.8
"Choloepus_didactylus","High school diploma",1372.5
"Choloepus_didactylus2","High school diploma",1301.8
"Choloepus_didactylus3","High school diploma",1376.3
"Chroicocephalus_scopulinus","High school diploma",1308.4
"Columba_livia","High school diploma",1186.7
"Conolophus_pallidus","High school diploma",1737.9
"Corvus","High school diploma",1466.5
"Corvus2","High school diploma",1384.4
"Crocodylus_porosus","High school diploma",1811
"Crocuta_crocuta","High school diploma",1698.7
"Crotalus_atrox","High school diploma",1683
"Crotalus2","High school diploma",1840
"Cryptoprocto _ferox","High school diploma",1518.8
"Cynictis_penicillata","High school diploma",1493.5
"Dasypus_novemcinctus","High school diploma",1480
"Daubentonia_madagascariensis","High school diploma",1578.5
"Dendroaspis_angusticeps","High school diploma",1728.2
"Desmodus_rotondus","High school diploma",1605.1
"Didelphis_virginiana","High school diploma",1478
"Equus_caballus","High school diploma",1214.9
"Eudyptes chrysolophus","High school diploma",1230.6
"Eudyptes_chrysocome","High school diploma",1441.8
"Eulemur _coronatus","High school diploma",1351.3
"Eulemur _coronatus2","High school diploma",1328.2
"Euphractus _sexcinctus","High school diploma",1482.7
"Evarcha_arcuata","High school diploma",1759.3
"Felis_catus","High school diploma",1248.3
"Felis_silvestris","High school diploma",1131.8
"Geronticus_eremita","High school diploma",1433.5
"Giraffa_camelopardalis_reticulata","High school diploma",1375.9
"Gorilla_Gorilla_Beringei","High school diploma",1611.9
"Gorilla_gorilla_gorilla","High school diploma",1639.9
"Gulo_gulo","High school diploma",1397.8
"Gulo_gulo2","High school diploma",1507.8
"Gymnogyps_californianus","High school diploma",1594
"Gypaetus_barbatus","High school diploma",1487.3
"Gypaetus_barbatus2","High school diploma",1551.6
"Gyps_rueppelli","High school diploma",1629.7
"Haematopus_ater","High school diploma",1351.3
"Harpia_Harpyja","High school diploma",1485.5
"Helarctos_malayanus","High school diploma",1577.9
"Hemicentetes_semispinosus","High school diploma",1574.3
"Heterocephalus_glaber","High school diploma",1581.2
"Hippopotamus_amphibius","High school diploma",1637.3
"Hyaena_hyaena","High school diploma",1698.2
"Hyles_euphorbiae","High school diploma",1609.1
"Hylobates_agilis","High school diploma",1497.5
"Hypsignathus_monstrosus","High school diploma",1761.2
"Iguana_iguana","High school diploma",1547
"Iguana_iguana2","High school diploma",1564.4
"Incilius_alvarius","High school diploma",1484
"Incilius_alvarius2","High school diploma",1429.1
"Intellagama_lesueurii","High school diploma",1574.6
"Laticauda_laticaudata","High school diploma",1773.4
"Laticauda_saintgironsi","High school diploma",1788.3
"Lemur_catta","High school diploma",1458.2
"Lemur_catta2","High school diploma",1369.9
"Leopardus_wiedii","High school diploma",1465
"Leptailurus_serval","High school diploma",1457.7
"Leptoptilos_crumenifer","High school diploma",1634.7
"Libellula_quadrimaculata","High school diploma",1554.6
"Litoria_infrafrenata","High school diploma",1386.7
"Loris_tardigradus","High school diploma",1095.3
"Loxodonta_africana","High school diploma",1496.1
"Lycaon_pictus","High school diploma",1742.4
"Lycaon_pictus2","High school diploma",1797.4
"Lynx_rufus","High school diploma",1620.3
"Lynx_rufus2","High school diploma",1618.1
"Macaca_fuscata","High school diploma",1508.8
"Macaca_silenus","High school diploma",1426.4
"Macronectes_halli","High school diploma",1657.4
"Macropus_rufogriseus","High school diploma",1447.4
"Malayopython_reticulatus","High school diploma",1797.4
"Malpolon_monspessulanus","High school diploma",1751.4
"Mandrillus_sphinx","High school diploma",1690.5
