"Name","Academic","EloScore","EloRank"
"Panthera_onca_2","High school diploma",1637.4,185
"Panthera_onca3","High school diploma",1958.9,220
"Panthera_pardus","High school diploma",1713,182
"Panthera_pardus_3","High school diploma",1793.1,213
"Panthera_pardus2","High school diploma",1655.2,172
"Panthera_tigris2","High school diploma",1730,191
"Panthera_uncia","High school diploma",1664.2,179
"Papillon","High school diploma",1586.5,151
"Papio_hamadryas","High school diploma",1668,166
"Pardofelis_temminckii","High school diploma",1544.3,115
"Petroica_macrocephala","High school diploma",1070.8,4
"Phacochoerus_africanus","High school diploma",1796.3,207
"Phascolarctos_cinereus","High school diploma",1053,2
"Phascolarctos_cinereus2","High school diploma",1065.2,3
"Pholcus_phalangioides","High school diploma",1834.5,218
"Pithecia pithecia","High school diploma",1513.2,124
"Pithecia pithecia2","High school diploma",1549.2,142
"Plathyrrhinus_fusciventris","High school diploma",1573.7,136
"Podarcis_muralis","High school diploma",1679.2,164
"Pogona_vitticeps","High school diploma",1414.2,70
"Porphyrio_hochstetteri","High school diploma",1580.5,128
"Procyon_lotor","High school diploma",1395.1,54
"Propithecus_coquereli","High school diploma",1335.6,52
"Propithecus_verreauxi","High school diploma",1419.5,72
"Psittacus_erithacus","High school diploma",1171.1,11
"Pteropus_conspicillatus","High school diploma",1402.3,45
"Puma_concolor","High school diploma",1684.6,169
"Python_bivittatus","High school diploma",1631.5,155
"Python_regius","High school diploma",1717.2,188
"Rattus_norvegicus","High school diploma",1379.7,55
"Rhinopithecus_roxellana","High school diploma",1185.1,10
"Rhyticeros_cassidix","High school diploma",1500.6,96
"Romalea_microptera","High school diploma",1715.2,193
"Saiga_tatarica","High school diploma",1411.3,90
"Sarcophilus_harrisii","High school diploma",1478.2,107
"Spalax","High school diploma",1622,163
"Spheniscus_humboldti","High school diploma",1242.7,23
"Stephanoaetus_coronatus","High school diploma",1476.9,120
"Strophurus","High school diploma",1547,109
"Struthio_camelus","High school diploma",1662.6,176
"Sula_nebouxii","High school diploma",1385.6,56
"Sula_sula","High school diploma",1440,98
"Suricata_suricatta","High school diploma",1277.6,49
"Sus_scrofa","High school diploma",1457.3,87
"Tapirus_indicus","High school diploma",1307.4,33
"Taricha_torosa","High school diploma",1504.6,106
"Tauraco_leucotis","High school diploma",1312.5,36
"Testudo_hermanni","High school diploma",1151.8,13
"Thalassarche_cauta","High school diploma",1513.4,118
"Theropithecus_gelada","High school diploma",1877.8,216
"Thomisus_onustus","High school diploma",1664.7,178
"Tockus_flavirostris","High school diploma",1411.9,89
"Trichosurus_vulpecula","High school diploma",1429.2,92
"Ursus_arctos_horribilis","High school diploma",1742.3,174
"Ursus_maritimus","High school diploma",1612.8,162
"Ursus_thibetanus","High school diploma",1650.5,165
"Varecia_rubra","High school diploma",1387.6,76
"Varecia_variegata","High school diploma",1415.4,83
"Vespula_germanica","High school diploma",1810.5,211
"Vicugna_pacos","High school diploma",1388.8,69
"Vicugna_pacos2","High school diploma",1372.8,74
"Vicugna_vicugna","High school diploma",1202.2,12
"Vipera_ammodytes","High school diploma",1674.3,177
"Vipera_aspis","High school diploma",1784,210
"Vulpes_zerda","High school diploma",1359.2,65
"Zamenis_longissimus","High school diploma",1835.4,204
"Zoropsis_spinimana","High school diploma",1805.9,202
"Acinonyx_jubatus","Kindergarten + Primary school",1376.2,27
"Acinonyx_jubatus2","Kindergarten + Primary school",1610,190
"Acryllium_vulturinum","Kindergarten + Primary school",1521.8,104
"Aepyceros_melampus","Kindergarten + Primary school",1463.7,84
"Aepyceros_melampus2","Kindergarten + Primary school",1312.8,6
"Agalychnis_callidryas","Kindergarten + Primary school",1394.6,43
"Ailuropoda_melanoleuca","Kindergarten + Primary school",1288.7,4
"Ailurops_ursinus","Kindergarten + Primary school",1420.4,53
"Ailurus_fulgens","Kindergarten + Primary school",1341.4,17
"Alligator_mississippiensis","Kindergarten + Primary school",1576.9,169
"Amblyrhynchus_cristatus","Kindergarten + Primary school",1601.4,183
"Aonyx_cinereus","Kindergarten + Primary school",1319.1,10
"Aonyx_cinereus2","Kindergarten + Primary school",1409.2,50
"Aquila_chrysaetos","Kindergarten + Primary school",1552.5,153
"Ara_ararauna","Kindergarten + Primary school",1405.4,47
"Ara_chloropterus","Kindergarten + Primary school",1451.9,79
"Arctocephalus forsteri","Kindergarten + Primary school",1329.5,13
"Arctocephalus_forsteri2","Kindergarten + Primary school",1516.7,137
"Artibeus_planirostris","Kindergarten + Primary school",1502,111
"Asio_flammeus","Kindergarten + Primary school",NA,NA
"Ateles_hybridus","Kindergarten + Primary school",1591.7,177
"Ateles_paniscus","Kindergarten + Primary school",1564.6,171
"Athene_noctua","Kindergarten + Primary school",1325.1,14
"Athene_noctua2","Kindergarten + Primary school",1455.7,69
"Athene_noctua3","Kindergarten + Primary school",1530.6,143
"Balaeniceps_rex","Kindergarten + Primary school",1474.9,109
"Bison_bonasus","Kindergarten + Primary school",1634.3,199
"Bison_bonasus2","Kindergarten + Primary school",1464,82
"Boa_constrictor","Kindergarten + Primary school",1624.1,200
"Bubo_bubo","Kindergarten + Primary school",1558.7,166
"Bubo_bubo2","Kindergarten + Primary school",1432.5,55
"Bubo_scandiacus","Kindergarten + Primary school",1505.1,110
"Bufonidae","Kindergarten + Primary school",1672.5,206
"Buprestidae","Kindergarten + Primary school",1530.6,151
"Buteo_galapagoensis","Kindergarten + Primary school",1449.7,67
"Cairina_moschata","Kindergarten + Primary school",1508.5,119
"Calliphora_vomitoria","Kindergarten + Primary school",1559.3,160
"Callithrix_argentata","Kindergarten + Primary school",1550.8,150
"Callithrix_penicillata","Kindergarten + Primary school",1446.2,68
"Calloselasma rhodostoma","Kindergarten + Primary school",1648.4,209
"Canis_lupus","Kindergarten + Primary school",1334.5,11
"Canis_lupus_familiaris","Kindergarten + Primary school",1446.3,65
"Canis_lupus_familiaris2","Kindergarten + Primary school",1491.2,103
"Carlito_syrichta","Kindergarten + Primary school",1374.3,28
"Centurio_senex","Kindergarten + Primary school",1768.8,220
"Cerdocyon_thous","Kindergarten + Primary school",1441.6,36
"Chelonoidis_porteri","Kindergarten + Primary school",1401.5,42
"Choloepus_didactylus","Kindergarten + Primary school",1513.5,127
"Choloepus_didactylus2","Kindergarten + Primary school",1564.6,152
"Choloepus_didactylus3","Kindergarten + Primary school",1357.6,24
"Chroicocephalus_scopulinus","Kindergarten + Primary school",1507,108
"Columba_livia","Kindergarten + Primary school",1428.9,58
"Conolophus_pallidus","Kindergarten + Primary school",1536.5,130
"Corvus","Kindergarten + Primary school",1456.3,81
"Corvus2","Kindergarten + Primary school",1458.1,83
"Crocodylus_porosus","Kindergarten + Primary school",1532.6,138
"Crocuta_crocuta","Kindergarten + Primary school",1571,167
"Crotalus_atrox","Kindergarten + Primary school",1546.8,141
"Crotalus2","Kindergarten + Primary school",1399,46
"Cryptoprocto _ferox","Kindergarten + Primary school",1421.1,44
"Cynictis_penicillata","Kindergarten + Primary school",1451.2,73
"Dasypus_novemcinctus","Kindergarten + Primary school",1472.1,92
"Daubentonia_madagascariensis","Kindergarten + Primary school",1508.5,118
"Dendroaspis_angusticeps","Kindergarten + Primary school",1714.4,217
"Desmodus_rotondus","Kindergarten + Primary school",1400.8,38
"Didelphis_virginiana","Kindergarten + Primary school",1473.8,89
"Equus_caballus","Kindergarten + Primary school",1391.7,35
"Eudyptes chrysolophus","Kindergarten + Primary school",1357.6,23
"Eudyptes_chrysocome","Kindergarten + Primary school",1532.1,128
"Eulemur _coronatus","Kindergarten + Primary school",1546.5,139
"Eulemur _coronatus2","Kindergarten + Primary school",1280.5,5
"Euphractus _sexcinctus","Kindergarten + Primary school",1465.9,75
"Evarcha_arcuata","Kindergarten + Primary school",1529.6,134
"Felis_catus","Kindergarten + Primary school",1500.1,107
"Felis_silvestris","Kindergarten + Primary school",1414.4,54
"Geronticus_eremita","Kindergarten + Primary school",1539.6,131
"Giraffa_camelopardalis_reticulata","Kindergarten + Primary school",1478.1,94
"Gorilla_Gorilla_Beringei","Kindergarten + Primary school",1536.7,132
"Gorilla_gorilla_gorilla","Kindergarten + Primary school",1585.6,181
"Gulo_gulo","Kindergarten + Primary school",1495.6,105
"Gulo_gulo2","Kindergarten + Primary school",1515.3,106
"Gymnogyps_californianus","Kindergarten + Primary school",1623.7,193
"Gypaetus_barbatus","Kindergarten + Primary school",1531.4,129
"Gypaetus_barbatus2","Kindergarten + Primary school",1470.2,85
"Gyps_rueppelli","Kindergarten + Primary school",1467.8,100
"Haematopus_ater","Kindergarten + Primary school",1449,74
