"name","High school + Middle school","High school diploma","Kindergarten + Primary school","Master's degree","One/two/three-year technical/university degree","Other","PhD and more","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Harpia_Harpyja",1391.2,1485.5,1553.2,1454.5,1498.9,1463.1,1392.7,"Harpia_Harpyja","Bird","Raptor","Yes","No","No"
"Helarctos_malayanus",1687.4,1577.9,1484.6,1650.6,1581.7,1647.2,1699.2,"Helarctos_malayanus","Mammal","Ursus","No","No","No"
"Hemicentetes_semispinosus",1560.8,1574.3,1497,1550.5,1563.1,1509.6,1389.2,"Hemicentetes_semispinosus","Mammal","Tenrecidae","No","No","No"
"Heterocephalus_glaber",1700.8,1581.2,1544.7,1749.4,1724,1715.9,1490.5,"Heterocephalus_glaber","Mammal","Rodent","No","No","No"
"Hippopotamus_amphibius",1698.2,1637.3,1514.4,1666.6,1750.9,1614.6,1806.7,"Hippopotamus_amphibius","Mammal","Ungulate","No","No","Yes"
"Hyaena_hyaena",1621,1698.2,1656,1790.3,1751.2,1658.4,1731.6,"Hyaena_hyaena","Mammal","Hyenidae","Yes","No","Yes"
"Hyles_euphorbiae",1694.9,1609.1,1459.7,1572,1551.2,1490.5,1445,"Hyles_euphorbiae","Insect","Lepidoptera","No","No","No"
"Hylobates_agilis",1352.9,1497.5,1353.8,1330.3,1349.5,1322.7,1279.4,"Hylobates_agilis","Mammal","Primate","No","No","No"
"Hypsignathus_monstrosus",1638.6,1761.2,1573.1,1624.2,1659.3,1561.7,1457.6,"Hypsignathus_monstrosu","Mammal","Chiroptera","No","No","No"
"Iguana_iguana",1597,1547,1549.4,1502.9,1601.3,1810.5,1567.1,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Iguana_iguana2",1653.8,1564.4,1594.2,1526.2,1492.9,1401.9,1515.6,"Iguana_iguana","Squamata","Lizard","No","No","No"
"Incilius_alvarius",1482.4,1484,1536.8,1546.8,1418.7,1487.1,1397.7,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Incilius_alvarius2",1543.9,1429.1,1468.3,1420.6,1492.4,1398.8,1498.5,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No"
"Intellagama_lesueurii",1615.1,1574.6,1406.8,1590.5,1541.7,1582.5,1566,"Intellagama_lesueurii","Squamata","Lizard","No","Yes","No"
"Laticauda_laticaudata",1726.2,1773.4,1582.8,1787.6,1813.3,1613.6,1735.4,"Laticauda_laticaudata","Squamata","Snake","No","Yes","No"
"Laticauda_saintgironsi",1834.1,1788.3,1582.6,1842.9,1818.7,1767.6,1782.6,"Laticauda_saintgironsi","Squamata","Snake","No","Yes","No"
"Lemur_catta",1228.8,1458.2,1403,1396.7,1208.2,1358.9,1349.6,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Lemur_catta2",1380.5,1369.9,1381.5,1341.1,1353.3,1251.1,1315.4,"Lemur_catta","Mammal","Primate","No","Yes","No"
"Leopardus_wiedii",1521.8,1465,1398.7,1467.5,1475.2,1450.2,1457.3,"Leopardus_wiedii","Mammal","Felidae","No","No","No"
"Leptailurus_serval",1458.8,1457.7,1475.9,1491.1,1473.5,1550.7,1466.4,"Leptailurus_serval","Mammal","Felidae","No","Yes","No"
"Leptoptilos_crumenifer",1568.4,1634.7,1537.3,1475.7,1510.5,1461.5,1639.8,"Leptoptilos_crumenifer","Bird","Bird (not Raptor)","No","No","No"
"Libellula_quadrimaculata",1408.2,1554.6,1608.4,1531.8,1472.5,1535.2,1529.2,"Libellula_quadrimaculata","Insect","Odonata","No","Yes","No"
"Litoria_infrafrenata",1477.5,1386.7,1338.8,1365.1,1219.7,1253.9,1331.8,"Litoria_infrafrenata","Squamata","Amphibia","No","Yes","No"
"Loris_tardigradus",1572.6,1095.3,1335.4,1197.9,1236,1260.8,1112.6,"Loris_tardigradus","Mammal","Primate","No","No","No"
"Loxodonta_africana",1426.7,1496.1,1471.5,1494.2,1399.4,1734.9,1594.8,"Loxodonta_africana","Mammal","Ungulate","No","No","Yes"
"Lycaon_pictus",1555.2,1742.4,1521.4,1655.6,1639.5,1724.1,1677,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Lycaon_pictus2",1610.6,1797.4,1492.7,1665.3,1687.1,1541.9,1752.6,"Lycaon_pictus","Mammal","Canidae","Yes","Yes","Yes"
"Lynx_rufus",1592.2,1620.3,1543.6,1691.5,1599.5,1609,1695.4,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Lynx_rufus2",1665.9,1618.1,1541.9,1583.7,1591.8,1672.1,1628.7,"Lynx_rufus","Mammal","Felidae","No","Yes","No"
"Macaca_fuscata",1355.1,1508.8,1504.2,1512.9,1500,1551,1682.6,"Macaca_fuscata","Mammal","Primate","No","Yes","No"
"Macaca_silenus",1538.4,1426.4,1456.3,1471.4,1544.6,1556.2,1520.6,"Macaca_silenus","Mammal","Primate","No","Yes","No"
"Macronectes_halli",1561.6,1657.4,1759.7,1579.8,1535.6,1720.6,1492.9,"Macronectes_halli","Bird","Bird (not Raptor)","No","No","No"
"Macropus_rufogriseus",1450.7,1447.4,1415.9,1292.9,1306.9,1291.1,1377.5,"Macropus_rufogriseus","Mammal","Marsupial","No","No","No"
"Malayopython_reticulatus",1755.7,1797.4,1436.6,1853.4,1842.9,1567,1761.6,"Malayopython_reticulatus","Squamata","Snake","Yes","Yes","Yes"
"Malpolon_monspessulanus",1720.1,1751.4,1437.1,1756.4,1768.8,1558.9,1639.1,"Malpolon_monspessulanus","Squamata","Snake","No","Yes","No"
"Mandrillus_sphinx",1565.5,1690.5,1510.6,1603.4,1662.1,1541.1,1697.4,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Mandrillus_sphinx2",1496.7,1472.3,1562.8,1585.2,1644.1,1773.7,1662.7,"Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"Miopithecus_ogouensis",1346.9,1322.8,1538.2,1354.8,1400.7,1390.7,1389.1,"Miopithecus_ogouensis","Mammal","Primate","No","No","No"
"Morelia_spilota",1725.7,1694.1,1631.6,1704.1,1838.8,1628.4,1777.8,"Morelia_spilota","Squamata","Snake","No","Yes","No"
"Mungos_mungo",1476.2,1700.7,1503,1558,1547.2,1501.2,1447.7,"Mungos_mungo","Mammal","Mongoose","No","Yes","No"
"Muscardinus_avellanarius",1184.8,1084.4,1373,1208.7,1166.1,1278.2,1081.8,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
