"","Name","Academic","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"158","Vicugna_pacos2","Master's degree",1310,23,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"159","Aonyx_cinereus","One/two/three-year technical/university degree",1257.8,23,"Aonyx_cinereus","Mammal","Mustelidae","No","Yes","No","Others"
"160","Phascolarctos_cinereus","Other",1311.2,23,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No","Others"
"161","Agalychnis_callidryas","PhD and more",1234.3,23,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"162","Eudyptes chrysolophus","High school + Middle school",1307.1,24,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"163","Pan_troglodytes2","High school diploma",1265.1,24,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes","Primate"
"164","Choloepus_didactylus3","Kindergarten + Primary school",1357.6,24,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"165","Bubo_bubo","Master's degree",1228.5,24,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"166","Athene_noctua2","One/two/three-year technical/university degree",1231.3,24,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"167","Ateles_paniscus","Other",1279.3,24,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"168","Ara_ararauna","PhD and more",1224.4,24,"Ara_ararauna","Bird","Bird (not Raptor)","No","No","No","Others"
"169","Tauraco_leucotis","High school + Middle school",1301,25,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No","Others"
"170","Pan_paniscus4","High school diploma",1279.1,25,"Pan_panisucs","Mammal","Primate","No","Yes","No","Primate"
"171","Nestor_meridionalis","Kindergarten + Primary school",1370.8,25,"Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No","Others"
"172","Choloepus_didactylus3","Master's degree",1240.5,25,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"173","Columba_livia","One/two/three-year technical/university degree",1284.5,25,"Columba_livia","Bird","Bird (not Raptor)","No","No","No","Others"
"174","Psittacus_erithacus","Other",1301.2,25,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No","Others"
"175","Athene_noctua2","PhD and more",1285.8,25,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"176","Choloepus_didactylus2","High school + Middle school",1312.8,26,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"177","Ateles_paniscus","High school diploma",1290.7,26,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
"178","Vulpes_zerda","Kindergarten + Primary school",1373.4,26,"Vulpes_zerda","Mammal","Canidae","No","Yes","No","Canidae"
"179","Vulpes_zerda","Master's degree",1253.2,26,"Vulpes_zerda","Mammal","Canidae","No","Yes","No","Canidae"
"180","Athene_noctua","One/two/three-year technical/university degree",1265.9,26,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"181","Athene_noctua3","Other",1307.5,26,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"182","Choloepus_didactylus2","PhD and more",1201.3,26,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"183","Callithrix_penicillata","High school + Middle school",1285.7,27,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"184","Aepyceros_melampus2","High school diploma",1241.7,27,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"185","Acinonyx_jubatus","Kindergarten + Primary school",1376.2,27,"Acinonyx_jubatus","Mammal","Felidae","Yes","Yes","Yes","Felidae"
"186","Ara_chloropterus","Master's degree",1232,27,"Ara_chloropterus","Bird","Bird (not Raptor)","No","No","No","Others"
"187","Eudyptes_chrysocome","One/two/three-year technical/university degree",1342.9,27,"Eudyptes_chrysocome","Bird","Bird (not Raptor)","No","Yes","No","Others"
"188","Aepyceros_melampus2","Other",1295.9,27,"Aepyceros_melampus","Mammal","Ungulate","No","No","No","Others"
"189","Athene_noctua","PhD and more",1314.4,27,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"190","Gulo_gulo","High school + Middle school",1276.3,28,"Gulo_gulo","Mammal","Mustelidae","No","Yes","No","Others"
"191","Callithrix_penicillata","High school diploma",1281.1,28,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"192","Carlito_syrichta","Kindergarten + Primary school",1374.3,28,"Carlito_syrichta","Mammal","Primate","No","Yes","No","Primate"
"193","Athene_noctua","Master's degree",1288.5,28,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"194","Loris_tardigradus","One/two/three-year technical/university degree",1236,28,"Loris_tardigradus","Mammal","Primate","No","No","No","Primate"
"195","Testudo_hermanni","Other",1319.9,28,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"196","Spheniscus_humboldti","PhD and more",1248.4,28,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No","Others"
"197","Bubo_bubo","High school + Middle school",1285.8,29,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"198","Ailurops_ursinus","High school diploma",1213.8,29,"Ailurops_ursinus","Mammal","Marsupial","No","No","No","Others"
"199","Muscardinus_avellanarius","Kindergarten + Primary school",1373,29,"Muscardinus_avellanarius","Mammal","Rodent","No","No","No","Others"
"200","Asio_flammeus","Master's degree",1259.3,29,"Asio_flammeus","Bird","Raptor","No","Yes","No","Raptor"
"201","Spheniscus_humboldti","One/two/three-year technical/university degree",1214.7,29,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No","Others"
"202","Agalychnis_callidryas","Other",1301.9,29,"Agalychnis_callidryas","Squamata","Amphibia","No","Yes","No","Others"
"203","Eudyptes chrysolophus","PhD and more",1238.7,29,"Eudyptes_chrysolophus","Bird","Bird (not Raptor)","No","Yes","No","Others"
"204","Spheniscus_humboldti","High school + Middle school",1290.5,30,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No","Others"
"205","Canis_lupus_familiaris2","High school diploma",1255.6,30,"Canis_lupus_familiaris","Mammal","Canidae","No","Yes","Yes","Canidae"
"206","Oryctolagus_cuniculus","Kindergarten + Primary school",1379.7,30,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No","Others"
"207","Pan_troglodytes2","Master's degree",1313.1,30,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes","Primate"
"208","Ailurus_fulgens","One/two/three-year technical/university degree",1284.6,30,"Ailurus_fulgens","Mammal","Ursus","No","No","No","Ursus"
"209","Callithrix_penicillata","Other",1341.7,30,"Callithrix_penicillata","Mammal","Primate","No","No","No","Primate"
"210","Bubo_bubo","PhD and more",1255.4,30,"Bubo_bubo","Bird","Raptor","No","Yes","No","Raptor"
"211","Psittacus_erithacus","High school + Middle school",1337,31,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No","Others"
"212","Athene_noctua","High school diploma",1294.3,31,"Athene_noctua","Bird","Bird (not Raptor)","No","Yes","No","Others"
"213","Leopardus_wiedii","Kindergarten + Primary school",1398.7,31,"Leopardus_wiedii","Mammal","Felidae","No","No","No","Felidae"
"214","Choloepus_didactylus","Master's degree",1289.2,31,"Choloepus_didactylus","Mammal","Xenarthra","No","No","No","Others"
"215","Ateles_paniscus","One/two/three-year technical/university degree",1311.4,31,"Ateles_paniscus","Mammal","Primate","No","No","No","Primate"
