;Name_2;Species;Group;Subgroup;Predator of primates;Predator;Dangerous
133;Necrosyrtes_monachus ;Necrosyrtes_monachus;Bird;Raptor;No;No;No
134;Neofelis_nebulosa ;Neofelis_nebulosa;Mammal;Felidae;Yes;No;Yes
135;Nestor_meridionalis ;Nestor_meridionalis;Bird;Bird (not Raptor);No;No;No
136;Notechis_scutatus ;Notechis_scutatus;Squamata;Snake;No;Yes;Yes
137;Numida_meleagris ;Numida_meleagris;Bird;Bird (not Raptor);No;No;No
138;Nyctereutes_procyonoides ;Nyctereutes_procyonoides;Mammal;Canidae;No;Yes;No
139;Odonata ;Odonata;Insect;Odonata;No;Yes;No
140;Odonata2 ;Odonata;Insect;Odonata;No;Yes;No
141;Oryctolagus_cuniculus ;Oryctolagus_cuniculus;Mammal;Lagomorpha;No;No;No
142;Oryctolagus_cuniculus2 ;Oryctolagus_cuniculus;Mammal;Lagomorpha;No;No;No
143;Otocolobus_manul ;Otocolobus_manul;Mammal;Felidae;No;Yes;No
144;Pamphagidae ;Pamphagidae;Insect;Orthoptere;No;No;No
145;Pan_paniscus ;Pan_panisucs;Mammal;Primate;No;Yes;No
146;Pan_paniscus2 ;Pan_panisucs;Mammal;Primate;No;Yes;No
147;Pan_paniscus3 ;Pan_panisucs;Mammal;Primate;No;Yes;No
148;Pan_paniscus4 ;Pan_panisucs;Mammal;Primate;No;Yes;No
149;Pan_troglodytes ;Pan_troglodytes;Mammal;Primate;Yes;No;Yes
150;Pan_troglodytes2 ;Pan_troglodytes;Mammal;Primate;Yes;No;Yes
151;Panthera_leo ;Panthera_leo;Mammal;Felidae;Yes;No;Yes
152;Panthera_leo2 ;Panthera_leo;Mammal;Felidae;Yes;No;Yes
153;Panthera_leo3 ;Panthera_leo;Mammal;Felidae;Yes;No;Yes
154;Panthera_onca ;Panthera_onca;Mammal;Felidae;Yes;No;Yes
155;Panthera_onca_2 ;Panthera_onca;Mammal;Felidae;Yes;No;Yes
156;Panthera_onca3 ;Panthera_onca;Mammal;Felidae;Yes;No;Yes
157;Panthera_pardus ;Panthera_pardus;Mammal;Felidae;Yes;No;Yes
158;Panthera_pardus_3 ;Panthera_pardus;Mammal;Felidae;Yes;No;Yes
159;Panthera_pardus2 ;Panthera_pardus;Mammal;Felidae;Yes;No;Yes
160;Panthera_tigris2 ;Panthera_tigris;Mammal;Felidae;Yes;No;Yes
161;Panthera_uncia ;Panthera_uncia;Mammal;Felidae;Yes;No;Yes
162;Papillon ;Papillon;Insect;Lepidoptera;No;No;No
163;Papio_hamadryas ;Papio_hamadryas;Mammal;Primate;No;No;No
164;Pardofelis_temminckii ;Pardofelis_temminckii;Mammal;Felidae;Yes;Yes;No
165;Petroica_macrocephala ;Petroica_macrocephala;Bird;Bird (not Raptor);No;No;No
