Name2;Species;Group;Subgroup;PredatorPrimates;Predator;Dangerous
Plathyrrhinus_fusciventris ;Platyrrhinus_fusciventris;Mammal;Chiroptera;No;No;No
Podarcis_muralis ;Podarcis_muralis;Squamata;Lizard;No;Yes;No
Pogona_vitticeps ;Pogona_vitticeps;Squamata;Lizard;No;Yes;No
Porphyrio_hochstetteri ;Porphyrio_hochstetteri;Bird;Bird (not Raptor);No;No;No
Procyon_lotor ;Procyon_lotor;Mammal;Procyonide;No;Yes;No
Propithecus_coquereli ;Propithecus_coquereli;Mammal;Primate;No;No;No
Propithecus_verreauxi ;Propithecus_verreauxi;Mammal;Primate;No;No;No
Psittacus_erithacus ;Psittacus_erithacus;Bird;Bird (not Raptor);No;No;No
Pteropus_conspicillatus ;Pteropus_conspicillatus;Mammal;Chiroptera;No;No;No
Puma_concolor ;Puma_concolor;Mammal;Felidae;Yes;No;Yes
Python_bivittatus ;Python_bivittatus;Squamata;Snake;Yes;Yes;Yes
Python_regius ;Python_regius;Squamata;Snake;No;Yes;No
Rattus_norvegicus ;Rattus_norvegicus;Mammal;Rodent;No;No;No
Rhinopithecus_roxellana ;Rhinopithecus_roxellana;Mammal;Primate;No;No;No
Rhyticeros_cassidix ;Rhyticeros_cassidix;Bird;Bird (not Raptor);No;No;No
Romalea_microptera ;Romalea_microptera;Insect;Orthoptere;No;No;No
Saiga_tatarica ;Saiga_tatarica;Mammal;Ungulate;No;No;No
Sarcophilus_harrisii ;Sarcophilus_harrisii;Mammal;Marsupial;No;Yes;No
Spalax ;Spalax;Mammal;Rodent;No;No;No
Spheniscus_humboldti ;Spheniscus_humboldti;Bird;Bird (not Raptor);No;Yes;No
Stephanoaetus_coronatus ;Stephanoaetus_coronatus;Bird;Raptor;Yes;No;No
Strophurus ;Strophurus_;Squamata;Lizard;No;Yes;No
Struthio_camelus ;Struthio_camelus;Bird;Bird (not Raptor);No;No;No
Sula_nebouxii ;Sula_nebouxii;Bird;Bird (not Raptor);No;Yes;No
Sula_sula ;Sula_sula;Bird;Bird (not Raptor);No;Yes;No
Suricata_suricatta ;Suricata_suricatta;Mammal;Mongoose;No;Yes;No
Sus_scrofa ;Sus_scrofa;Mammal;Ungulate;No;No;Yes
Tapirus_indicus ;Tapirus_indicus;Mammal;Ungulate;No;No;No
Taricha_torosa ;Taricha_torosa;Squamata;Amphibia;No;Yes;No
Tauraco_leucotis ;Tauraco_leucotis;Bird;Bird (not Raptor);No;No;No
Testudo_hermanni ;Testudo_hermanni;Squamata;Tortoise  ;No;No;No
Thalassarche_cauta ;Thalassarche_cauta;Bird;Bird (not Raptor);No;No;No
Theropithecus_gelada ;Theropithecus_gelada;Mammal;Primate;No;No;No
Thomisus_onustus ;Thomisus_onustus;Spider;Spider;No;Yes;No
Tockus_flavirostris ;Tockus_flavirostris;Bird;Bird (not Raptor);No;No;No
Trichosurus_vulpecula ;Trichosurus_vulpecula;Mammal;Marsupial;No;No;No
Ursus_arctos_horribilis ;Ursus_arctos_horribilis;Mammal;Ursus;Yes;No;Yes
Ursus_maritimus ;Ursus_maritimus;Mammal;Ursus;Yes;No;Yes
Ursus_thibetanus ;Ursus_thibetanus;Mammal;Ursus;No;Yes;Yes
Varecia_rubra ;Varecia_rubra;Mammal;Primate;No;No;No
Varecia_variegata ;Varecia_variegata;Mammal;Primate;No;No;No
Vespula_germanica ;Vespula_germanica;Insect;Hymenoptera;No;Yes;Yes
Vicugna_pacos ;Vicugna_pacos;Mammal;Ungulate;No;No;No
Vicugna_pacos2 ;Vicugna_pacos;Mammal;Ungulate;No;No;No
Vicugna_vicugna ;Vicugna_vicugna;Mammal;Ungulate;No;No;No
Vipera_ammodytes ;Vipera_ammodytes;Squamata;Snake;No;Yes;Yes
Vipera_aspis ;Vipera_aspis;Squamata;Snake;No;Yes;Yes
Vulpes_zerda ;Vulpes_zerda;Mammal;Canidae;No;Yes;No
Zamenis_longissimus ;Zamenis_longissimus;Squamata;Snake;No;Yes;No
Zoropsis_spinimana ;Zoropsis_spinimana;Spider;Spider;No;Yes;No
