"Name","Age","EloScore","EloRank"
"Canis_lupus_familiaris2","+ 30 years old",1276.5,11
"Carlito_syrichta","+ 30 years old",1405.9,82
"Centurio_senex","+ 30 years old",1720.9,188
"Cerdocyon_thous","+ 30 years old",1348.8,96
"Chelonoidis_porteri","+ 30 years old",1254.1,31
"Choloepus_didactylus","+ 30 years old",1261.2,20
"Choloepus_didactylus2","+ 30 years old",1205.7,24
"Choloepus_didactylus3","+ 30 years old",1345,40
"Chroicocephalus_scopulinus","+ 30 years old",1295.7,47
"Columba_livia","+ 30 years old",1294.1,25
"Conolophus_pallidus","+ 30 years old",1729.5,169
"Corvus","+ 30 years old",1483.2,129
"Corvus2","+ 30 years old",1363.1,87
"Crocodylus_porosus","+ 30 years old",1954.5,219
"Crocuta_crocuta","+ 30 years old",1792.3,205
"Crotalus_atrox","+ 30 years old",1799.2,202
"Crotalus2","+ 30 years old",1901.7,217
"Cryptoprocto _ferox","+ 30 years old",1516.1,112
"Cynictis_penicillata","+ 30 years old",1452.5,91
"Dasypus_novemcinctus","+ 30 years old",1426,72
"Daubentonia_madagascariensis","+ 30 years old",1598.3,141
"Dendroaspis_angusticeps","+ 30 years old",1770.9,206
"Desmodus_rotondus","+ 30 years old",1623.2,158
"Didelphis_virginiana","+ 30 years old",1375.4,64
"Equus_caballus","+ 30 years old",1257.1,16
"Eudyptes chrysolophus","+ 30 years old",1206.9,23
"Eudyptes_chrysocome","+ 30 years old",1331.9,38
"Eulemur _coronatus","+ 30 years old",1422.7,54
"Eulemur _coronatus2","+ 30 years old",1305,32
"Euphractus _sexcinctus","+ 30 years old",1454.8,85
"Evarcha_arcuata","+ 30 years old",1755.7,186
"Felis_catus","+ 30 years old",1329,78
"Felis_silvestris","+ 30 years old",1135.5,8
"Geronticus_eremita","+ 30 years old",1540,142
"Giraffa_camelopardalis_reticulata","+ 30 years old",1230.2,26
"Gorilla_Gorilla_Beringei","+ 30 years old",1514.9,144
"Gorilla_gorilla_gorilla","+ 30 years old",1723.3,175
"Gulo_gulo","+ 30 years old",1521.9,126
"Gulo_gulo2","+ 30 years old",1617.2,118
"Gymnogyps_californianus","+ 30 years old",1529,130
"Gypaetus_barbatus","+ 30 years old",1462,79
"Gypaetus_barbatus2","+ 30 years old",1521,97
"Gyps_rueppelli","+ 30 years old",1512.4,117
"Haematopus_ater","+ 30 years old",1254.9,30
"Harpia_Harpyja","+ 30 years old",1458.4,111
"Helarctos_malayanus","+ 30 years old",1668.8,163
"Hemicentetes_semispinosus","+ 30 years old",1478.3,102
"Heterocephalus_glaber","+ 30 years old",1729.7,187
"Hippopotamus_amphibius","+ 30 years old",1678.3,179
"Hyaena_hyaena","+ 30 years old",1790.2,204
"Hyles_euphorbiae","+ 30 years old",1554.6,139
"Hylobates_agilis","+ 30 years old",1361.9,56
"Hypsignathus_monstrosus","+ 30 years old",1572.2,148
"Iguana_iguana","+ 30 years old",1688.2,176
"Iguana_iguana2","+ 30 years old",1536.4,133
"Incilius_alvarius","+ 30 years old",1441.6,99
"Incilius_alvarius2","+ 30 years old",1431.2,88
"Intellagama_lesueurii","+ 30 years old",1556.8,147
"Laticauda_laticaudata","+ 30 years old",1872.2,211
"Laticauda_saintgironsi","+ 30 years old",1833.5,207
"Lemur_catta","+ 30 years old",1320.7,46
"Lemur_catta2","+ 30 years old",1329.1,59
"Leopardus_wiedii","+ 30 years old",1452.1,92
"Leptailurus_serval","+ 30 years old",1520.5,103
"Leptoptilos_crumenifer","+ 30 years old",1528.2,127
"Libellula_quadrimaculata","+ 30 years old",1589.9,143
"Litoria_infrafrenata","+ 30 years old",1348.1,41
"Loris_tardigradus","+ 30 years old",1182.2,13
"Loxodonta_africana","+ 30 years old",1544.8,114
"Lycaon_pictus","+ 30 years old",1700.8,178
"Lycaon_pictus2","+ 30 years old",1697,182
"Lynx_rufus","+ 30 years old",1653.4,173
"Lynx_rufus2","+ 30 years old",1606.5,167
"Macaca_fuscata","+ 30 years old",1553.4,135
"Macaca_silenus","+ 30 years old",1524.8,125
"Macronectes_halli","+ 30 years old",1593.8,150
"Macropus_rufogriseus","+ 30 years old",1377.7,60
"Malayopython_reticulatus","+ 30 years old",1845.9,194
"Malpolon_monspessulanus","+ 30 years old",1755.8,171
"Mandrillus_sphinx","+ 30 years old",1694.9,159
"Mandrillus_sphinx2","+ 30 years old",1604.8,146
"Miopithecus_ogouensis","+ 30 years old",1376.9,65
"Morelia_spilota","+ 30 years old",1760.4,203
"Mungos_mungo","+ 30 years old",1542.9,119
"Muscardinus_avellanarius","+ 30 years old",1194.6,10
"Mygale","+ 30 years old",1704.7,190
"Myocastor_coypus","+ 30 years old",1268.2,14
"Naja_naja","+ 30 years old",1983.8,221
"Nasua_narica","+ 30 years old",1389.5,81
"Nasua_nasua","+ 30 years old",1323.3,55
"Necrosyrtes_monachus","+ 30 years old",1488.5,122
"Neofelis_nebulosa","+ 30 years old",1664.6,155
"Nestor_meridionalis","+ 30 years old",1302.2,44
"Notechis_scutatus","+ 30 years old",1859.6,213
"Numida_meleagris","+ 30 years old",1481,84
"Nyctereutes_procyonoides","+ 30 years old",1383.7,100
"Odonata","+ 30 years old",1524.6,138
"Odonata2","+ 30 years old",1488.4,137
"Oryctolagus_cuniculus","+ 30 years old",1047,3
"Oryctolagus_cuniculus2","+ 30 years old",827.2,1
"Otocolobus_manul","+ 30 years old",1491.2,105
"Pamphagidae","+ 30 years old",1517.3,121
"Pan_paniscus","+ 30 years old",1428.9,93
"Pan_paniscus2","+ 30 years old",1411.2,68
"Pan_paniscus3","+ 30 years old",1445.8,76
"Pan_paniscus4","+ 30 years old",1331.9,61
"Pan_troglodytes","+ 30 years old",1487.1,124
"Pan_troglodytes2","+ 30 years old",1308.7,48
"Panthera_leo","+ 30 years old",1755.9,183
"Panthera_leo2","+ 30 years old",1788,193
"Panthera_leo3","+ 30 years old",1811.6,212
"Panthera_onca","+ 30 years old",1799.1,209
"Panthera_onca_2","+ 30 years old",1751.7,170
"Panthera_onca3","+ 30 years old",1815.6,199
"Panthera_pardus","+ 30 years old",1762.8,191
"Panthera_pardus_3","+ 30 years old",1821.7,195
"Panthera_pardus2","+ 30 years old",1646.2,162
"Panthera_tigris2","+ 30 years old",1744.2,198
"Panthera_uncia","+ 30 years old",1668.6,172
"Papillon","+ 30 years old",1477.1,108
"Papio_hamadryas","+ 30 years old",1604.1,160
"Pardofelis_temminckii","+ 30 years old",1591.3,140
"Petroica_macrocephala","+ 30 years old",1008.4,2
"Phacochoerus_africanus","+ 30 years old",1862.1,215
"Phascolarctos_cinereus","+ 30 years old",1094.8,7
"Phascolarctos_cinereus2","+ 30 years old",988.6,4
"Pholcus_phalangioides","+ 30 years old",1878.8,216
"Pithecia pithecia","+ 30 years old",1512.5,134
"Pithecia pithecia2","+ 30 years old",1566.8,132
"Plathyrrhinus_fusciventris","+ 30 years old",1531.4,131
"Podarcis_muralis","+ 30 years old",1653,165
"Pogona_vitticeps","+ 30 years old",1524.1,110
"Porphyrio_hochstetteri","+ 30 years old",1414.1,94
"Procyon_lotor","+ 30 years old",1395.1,67
"Propithecus_coquereli","+ 30 years old",1303.5,42
"Propithecus_verreauxi","+ 30 years old",1366.4,39
"Psittacus_erithacus","+ 30 years old",1286.9,49
"Pteropus_conspicillatus","+ 30 years old",1360,66
"Puma_concolor","+ 30 years old",1756.3,185
"Python_bivittatus","+ 30 years old",1840.7,214
"Python_regius","+ 30 years old",1842.4,208
"Rattus_norvegicus","+ 30 years old",1384,90
"Rhinopithecus_roxellana","+ 30 years old",1292.8,35
"Rhyticeros_cassidix","+ 30 years old",1385.9,75
"Romalea_microptera","+ 30 years old",1383.1,77
"Saiga_tatarica","+ 30 years old",1456.2,113
"Sarcophilus_harrisii","+ 30 years old",1605.4,157
"Spalax","+ 30 years old",1513.6,116
"Spheniscus_humboldti","+ 30 years old",1203,17
"Stephanoaetus_coronatus","+ 30 years old",1487.8,120
"Strophurus","+ 30 years old",1495.3,98
"Struthio_camelus","+ 30 years old",1538.1,145
"Sula_nebouxii","+ 30 years old",1444.1,104
"Sula_sula","+ 30 years old",1407.4,74
"Suricata_suricatta","+ 30 years old",1342.5,53
"Sus_scrofa","+ 30 years old",1551.2,154
"Tapirus_indicus","+ 30 years old",1326.8,51
"Taricha_torosa","+ 30 years old",1400.9,52
"Tauraco_leucotis","+ 30 years old",1108.5,6
"Testudo_hermanni","+ 30 years old",1075.4,5
"Thalassarche_cauta","+ 30 years old",1510,101
"Theropithecus_gelada","+ 30 years old",1674.9,177
"Thomisus_onustus","+ 30 years old",1700.3,166
"Tockus_flavirostris","+ 30 years old",1473.4,136
"Trichosurus_vulpecula","+ 30 years old",1432.7,83
"Ursus_arctos_horribilis","+ 30 years old",1754.7,192
"Ursus_maritimus","+ 30 years old",1729.6,196
"Ursus_thibetanus","+ 30 years old",1683,168
"Varecia_rubra","+ 30 years old",1409.9,70
"Varecia_variegata","+ 30 years old",1382.1,80
"Vespula_germanica","+ 30 years old",1668.1,174
"Vicugna_pacos","+ 30 years old",1385.5,21
"Vicugna_pacos2","+ 30 years old",1327.8,63
"Vicugna_vicugna","+ 30 years old",1159.5,9
"Vipera_ammodytes","+ 30 years old",1872.5,218
"Vipera_aspis","+ 30 years old",1820.4,200
"Vulpes_zerda","+ 30 years old",1296.4,34
"Zamenis_longissimus","+ 30 years old",1787.7,189
"Zoropsis_spinimana","+ 30 years old",1786.2,197
