"","Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"164","Carlito_syrichta","+ 30 years old",1405.9,82,"Carlito_syrichta","Mammal","Primate","No","Yes","No","Primate"
"165","Incilius_alvarius2","- 30 years old",1480.3,83,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No","Others"
"166","Trichosurus_vulpecula","+ 30 years old",1432.7,83,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No","Others"
"167","Eulemur _coronatus","- 30 years old",1413.9,84,"Eulemur_coronatus","Mammal","Primate","No","No","No","Primate"
"168","Numida_meleagris","+ 30 years old",1481,84,"Numida_meleagris","Bird","Bird (not Raptor)","No","No","No","Others"
"169","Corvus2","- 30 years old",1451.3,85,"Corvus","Bird","Bird (not Raptor)","No","No","No","Others"
"170","Euphractus _sexcinctus","+ 30 years old",1454.8,85,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No","Others"
"171","Sula_nebouxii","- 30 years old",1456.4,86,"Sula_nebouxii","Bird","Bird (not Raptor)","No","Yes","No","Others"
"172","Callithrix_argentata","+ 30 years old",1424.8,86,"Callithrix_argentata","Mammal","Primate","No","No","No","Primate"
"173","Numida_meleagris","- 30 years old",1584.7,87,"Numida_meleagris","Bird","Bird (not Raptor)","No","No","No","Others"
"174","Corvus2","+ 30 years old",1363.1,87,"Corvus","Bird","Bird (not Raptor)","No","No","No","Others"
"175","Euphractus _sexcinctus","- 30 years old",1420.9,88,"Euphractus_sexcinctus","Mammal","Xenarthra","No","No","No","Others"
"176","Incilius_alvarius2","+ 30 years old",1431.2,88,"Incilius_alvarius","Squamata","Amphibia","No","Yes","No","Others"
"177","Romalea_microptera","- 30 years old",1473.4,89,"Romalea_microptera","Insect","Orthoptere","No","No","No","Others"
"178","Bufonidae","+ 30 years old",1475.5,89,"Bufonidae","Squamata","Amphibia","No","Yes","No","Others"
"179","Varecia_rubra","- 30 years old",1464.2,90,"Varecia_rubra","Mammal","Primate","No","No","No","Primate"
