"Name","Age","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Cryptoprocto _ferox","- 30 years old",1471.6,105,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Otocolobus_manul","+ 30 years old",1491.2,105,"Otocolobus_manul","Mammal","Felidae","No","Yes","No"
"Ateles_hybridus","- 30 years old",1617.6,106,"Ateles_hybridus","Mammal","Primate","No","No","No"
"Arctocephalus forsteri","+ 30 years old",1489.2,106,"Arctocephalus_forsteri","Mammal","Sea lion","No","Yes","No"
"Leopardus_wiedii","- 30 years old",1430.3,107,"Leopardus_wiedii","Mammal","Felidae","No","No","No"
"Buteo_galapagoensis","+ 30 years old",1524.8,107,"Buteo_galapagoensis","Bird","Raptor","No","Yes","No"
"Porphyrio_hochstetteri","- 30 years old",1542.2,108,"Porphyrio_hochstetteri","Bird","Bird (not Raptor)","No","No","No"
"Papillon","+ 30 years old",1477.1,108,"Papillon","Insect","Lepidoptera","No","No","No"
"Calliphora_vomitoria","- 30 years old",1577,109,"Calliphora_vomitoria","Insect","Diptera","No","No","No"
"Aquila_chrysaetos","+ 30 years old",1511.2,109,"Aquila_chrysaetos","Bird","Raptor","No","No","No"
"Pamphagidae","- 30 years old",1480.9,110,"Pamphagidae","Insect","Orthoptere","No","No","No"
"Pogona_vitticeps","+ 30 years old",1524.1,110,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No"
"Leptoptilos_crumenifer","- 30 years old",1512.2,111,"Leptoptilos_crumenifer","Bird","Bird (not Raptor)","No","No","No"
"Harpia_Harpyja","+ 30 years old",1458.4,111,"Harpia_Harpyja","Bird","Raptor","Yes","No","No"
"Cynictis_penicillata","- 30 years old",1518.8,112,"Cynictis_penicillata","Mammal","Mongoose","No","Yes","No"
"Cryptoprocto _ferox","+ 30 years old",1516.1,112,"Cryptoprocto_ferox","Mammal","Felidae","Yes","No","No"
"Macaca_fuscata","- 30 years old",1512.8,113,"Macaca_fuscata","Mammal","Primate","No","Yes","No"
