"name","- 30 years old","+ 30 years old","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"Nyctereutes_procyonoides",1390.6,1383.7,"Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No"
"Odonata",1548.1,1524.6,"Odonata","Insect","Odonata","No","Yes","No"
"Odonata2",1601.2,1488.4,"Odonata","Insect","Odonata","No","Yes","No"
"Oryctolagus_cuniculus",1137.7,1047,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Oryctolagus_cuniculus2",866.5,827.2,"Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"Otocolobus_manul",1502,1491.2,"Otocolobus_manul","Mammal","Felidae","No","Yes","No"
"Pamphagidae",1480.9,1517.3,"Pamphagidae","Insect","Orthoptere","No","No","No"
"Pan_paniscus",1438.5,1428.9,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus2",1504.3,1411.2,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus3",1412.8,1445.8,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_paniscus4",1367.6,1331.9,"Pan_panisucs","Mammal","Primate","No","Yes","No"
"Pan_troglodytes",1552.7,1487.1,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Pan_troglodytes2",1323.3,1308.7,"Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"Panthera_leo",1746.4,1755.9,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_leo2",1657.6,1788,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_leo3",1698.4,1811.6,"Panthera_leo","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca",1724.6,1799.1,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca_2",1685.4,1751.7,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_onca3",1808,1815.6,"Panthera_onca","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus",1776.1,1762.8,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus_3",1716.7,1821.7,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_pardus2",1610.7,1646.2,"Panthera_pardus","Mammal","Felidae","Yes","No","Yes"
"Panthera_tigris2",1650,1744.2,"Panthera_tigris","Mammal","Felidae","Yes","No","Yes"
"Panthera_uncia",1667.8,1668.6,"Panthera_uncia","Mammal","Felidae","Yes","No","Yes"
"Papillon",1581.3,1477.1,"Papillon","Insect","Lepidoptera","No","No","No"
"Papio_hamadryas",1637.7,1604.1,"Papio_hamadryas","Mammal","Primate","No","No","No"
"Pardofelis_temminckii",1533.7,1591.3,"Pardofelis_temminckii","Mammal","Felidae","Yes","Yes","No"
"Petroica_macrocephala",1057.6,1008.4,"Petroica_macrocephala","Bird","Bird (not Raptor)","No","No","No"
"Phacochoerus_africanus",1715.9,1862.1,"Phacochoerus_africanus","Mammal","Ungulate","No","No","No"
"Phascolarctos_cinereus",1073.1,1094.8,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Phascolarctos_cinereus2",1090.9,988.6,"Phascolarctos_cinereus","Mammal","Marsupial","No","No","No"
"Pholcus_phalangioides",1892.3,1878.8,"Pholcus_phalangioides","Spider","Spider","No","Yes","No"
"Pithecia pithecia",1549.8,1512.5,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Pithecia pithecia2",1513.7,1566.8,"Pithecia_pithecia","Mammal","Primate","No","No","No"
"Plathyrrhinus_fusciventris",1531.4,1531.4,"Platyrrhinus_fusciventris","Mammal","Chiroptera","No","No","No"
"Podarcis_muralis",1631.2,1653,"Podarcis_muralis","Squamata","Lizard","No","Yes","No"
"Pogona_vitticeps",1391.5,1524.1,"Pogona_vitticeps","Squamata","Lizard","No","Yes","No"
"Porphyrio_hochstetteri",1542.2,1414.1,"Porphyrio_hochstetteri","Bird","Bird (not Raptor)","No","No","No"
"Procyon_lotor",1360.9,1395.1,"Procyon_lotor","Mammal","Procyonide","No","Yes","No"
"Propithecus_coquereli",1331.6,1303.5,"Propithecus_coquereli","Mammal","Primate","No","No","No"
"Propithecus_verreauxi",1318.7,1366.4,"Propithecus_verreauxi","Mammal","Primate","No","No","No"
"Psittacus_erithacus",1276.2,1286.9,"Psittacus_erithacus","Bird","Bird (not Raptor)","No","No","No"
"Pteropus_conspicillatus",1439.3,1360,"Pteropus_conspicillatus","Mammal","Chiroptera","No","No","No"
"Puma_concolor",1706.3,1756.3,"Puma_concolor","Mammal","Felidae","Yes","No","Yes"
"Python_bivittatus",1724,1840.7,"Python_bivittatus","Squamata","Snake","Yes","Yes","Yes"
"Python_regius",1724,1842.4,"Python_regius","Squamata","Snake","No","Yes","No"
"Rattus_norvegicus",1277.1,1384,"Rattus_norvegicus","Mammal","Rodent","No","No","No"
"Rhinopithecus_roxellana",1286.7,1292.8,"Rhinopithecus_roxellana","Mammal","Primate","No","No","No"
"Rhyticeros_cassidix",1486.2,1385.9,"Rhyticeros_cassidix","Bird","Bird (not Raptor)","No","No","No"
"Romalea_microptera",1473.4,1383.1,"Romalea_microptera","Insect","Orthoptere","No","No","No"
"Saiga_tatarica",1471.7,1456.2,"Saiga_tatarica","Mammal","Ungulate","No","No","No"
"Sarcophilus_harrisii",1557.4,1605.4,"Sarcophilus_harrisii","Mammal","Marsupial","No","Yes","No"
"Spalax",1573.6,1513.6,"Spalax","Mammal","Rodent","No","No","No"
"Spheniscus_humboldti",1175.6,1203,"Spheniscus_humboldti","Bird","Bird (not Raptor)","No","Yes","No"
"Stephanoaetus_coronatus",1550.4,1487.8,"Stephanoaetus_coronatus","Bird","Raptor","Yes","No","No"
"Strophurus",1580.2,1495.3,"Strophurus_","Squamata","Lizard","No","Yes","No"
"Struthio_camelus",1585.4,1538.1,"Struthio_camelus","Bird","Bird (not Raptor)","No","No","No"
"Sula_nebouxii",1456.4,1444.1,"Sula_nebouxii","Bird","Bird (not Raptor)","No","Yes","No"
"Sula_sula",1414.4,1407.4,"Sula_sula","Bird","Bird (not Raptor)","No","Yes","No"
"Suricata_suricatta",1225.5,1342.5,"Suricata_suricatta","Mammal","Mongoose","No","Yes","No"
"Sus_scrofa",1535.7,1551.2,"Sus_scrofa","Mammal","Ungulate","No","No","Yes"
"Tapirus_indicus",1382.3,1326.8,"Tapirus_indicus","Mammal","Ungulate","No","No","No"
"Taricha_torosa",1489.8,1400.9,"Taricha_torosa","Squamata","Amphibia","No","Yes","No"
"Tauraco_leucotis",1223.4,1108.5,"Tauraco_leucotis","Bird","Bird (not Raptor)","No","No","No"
"Testudo_hermanni",1159.9,1075.4,"Testudo_hermanni","Squamata","Tortoise","No","No","No"
"Thalassarche_cauta",1569.7,1510,"Thalassarche_cauta","Bird","Bird (not Raptor)","No","No","No"
"Theropithecus_gelada",1713.4,1674.9,"Theropithecus_gelada","Mammal","Primate","No","No","No"
"Thomisus_onustus",1691.3,1700.3,"Thomisus_onustus","Spider","Spider","No","Yes","No"
"Tockus_flavirostris",1570.2,1473.4,"Tockus_flavirostris","Bird","Bird (not Raptor)","No","No","No"
"Trichosurus_vulpecula",1480.8,1432.7,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No"
"Ursus_arctos_horribilis",1715.6,1754.7,"Ursus_arctos_horribilis","Mammal","Ursus","Yes","No","Yes"
"Ursus_maritimus",1579.5,1729.6,"Ursus_maritimus","Mammal","Ursus","Yes","No","Yes"
"Ursus_thibetanus",1749.6,1683,"Ursus_thibetanus","Mammal","Ursus","No","Yes","Yes"
"Varecia_rubra",1464.2,1409.9,"Varecia_rubra","Mammal","Primate","No","No","No"
"Varecia_variegata",1469.1,1382.1,"Varecia_variegata","Mammal","Primate","No","No","No"
"Vespula_germanica",1640.8,1668.1,"Vespula_germanica","Insect","Hymenoptera","No","Yes","Yes"
"Vicugna_pacos",1386.1,1385.5,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Vicugna_pacos2",1343.2,1327.8,"Vicugna_pacos","Mammal","Ungulate","No","No","No"
"Vicugna_vicugna",1203.6,1159.5,"Vicugna_vicugna","Mammal","Ungulate","No","No","No"
"Vipera_ammodytes",1752,1872.5,"Vipera_ammodytes","Squamata","Snake","No","Yes","Yes"
"Vipera_aspis",1800.2,1820.4,"Vipera_aspis","Squamata","Snake","No","Yes","Yes"
"Vulpes_zerda",1275.5,1296.4,"Vulpes_zerda","Mammal","Canidae","No","Yes","No"
"Zamenis_longissimus",1689.3,1787.7,"Zamenis_longissimus","Squamata","Snake","No","Yes","No"
"Zoropsis_spinimana",1687.1,1786.2,"Zoropsis_spinimana","Spider","Spider","No","Yes","No"
