"name","variable","value"
"Chroicocephalus_scopulinus","+ 30 years old",1295.7
"Columba_livia","+ 30 years old",1294.1
"Conolophus_pallidus","+ 30 years old",1729.5
"Corvus","+ 30 years old",1483.2
"Corvus2","+ 30 years old",1363.1
"Crocodylus_porosus","+ 30 years old",1954.5
"Crocuta_crocuta","+ 30 years old",1792.3
"Crotalus_atrox","+ 30 years old",1799.2
"Crotalus2","+ 30 years old",1901.7
"Cryptoprocto _ferox","+ 30 years old",1516.1
"Cynictis_penicillata","+ 30 years old",1452.5
"Dasypus_novemcinctus","+ 30 years old",1426
"Daubentonia_madagascariensis","+ 30 years old",1598.3
"Dendroaspis_angusticeps","+ 30 years old",1770.9
"Desmodus_rotondus","+ 30 years old",1623.2
"Didelphis_virginiana","+ 30 years old",1375.4
"Equus_caballus","+ 30 years old",1257.1
"Eudyptes chrysolophus","+ 30 years old",1206.9
"Eudyptes_chrysocome","+ 30 years old",1331.9
"Eulemur _coronatus","+ 30 years old",1422.7
"Eulemur _coronatus2","+ 30 years old",1305
"Euphractus _sexcinctus","+ 30 years old",1454.8
"Evarcha_arcuata","+ 30 years old",1755.7
"Felis_catus","+ 30 years old",1329
"Felis_silvestris","+ 30 years old",1135.5
"Geronticus_eremita","+ 30 years old",1540
"Giraffa_camelopardalis_reticulata","+ 30 years old",1230.2
"Gorilla_Gorilla_Beringei","+ 30 years old",1514.9
"Gorilla_gorilla_gorilla","+ 30 years old",1723.3
"Gulo_gulo","+ 30 years old",1521.9
"Gulo_gulo2","+ 30 years old",1617.2
"Gymnogyps_californianus","+ 30 years old",1529
"Gypaetus_barbatus","+ 30 years old",1462
"Gypaetus_barbatus2","+ 30 years old",1521
"Gyps_rueppelli","+ 30 years old",1512.4
"Haematopus_ater","+ 30 years old",1254.9
"Harpia_Harpyja","+ 30 years old",1458.4
"Helarctos_malayanus","+ 30 years old",1668.8
"Hemicentetes_semispinosus","+ 30 years old",1478.3
"Heterocephalus_glaber","+ 30 years old",1729.7
