"","Name","EloScore","EloRank","Name2","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous"
"116","Macaca_fuscata",1525.76,120,"Macaca_fuscata ","Macaca_fuscata","Mammal","Primate","No","Yes","No"
"117","Macaca_silenus",1503.05,111,"Macaca_silenus ","Macaca_silenus","Mammal","Primate","No","Yes","No"
"118","Macronectes_halli",1555.16,141,"Macronectes_halli ","Macronectes_halli","Bird","Bird (not Raptor)","No","No","No"
"119","Macropus_rufogriseus",1350.41,56,"Macropus_rufogriseus ","Macropus_rufogriseus","Mammal","Marsupial","No","No","No"
"120","Malayopython_reticulatus",1835.15,213,"Malayopython_reticulatus ","Malayopython_reticulatus","Squamata","Snake","Yes","Yes","Yes"
"121","Malpolon_monspessulanus",1695.14,179,"Malpolon_monspessulanus ","Malpolon_monspessulanus","Squamata","Snake","No","Yes","No"
"122","Mandrillus_sphinx",1642.88,163,"Mandrillus_sphinx ","Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"123","Mandrillus_sphinx2",1622.62,159,"Mandrillus_sphinx2 ","Mandrillus_sphinx","Mammal","Primate","No","No","Yes"
"124","Miopithecus_ogouensis",1363.7,63,"Miopithecus_ogouensis ","Miopithecus_ogouensis","Mammal","Primate","No","No","No"
"125","Morelia_spilota",1748.98,195,"Morelia_spilota ","Morelia_spilota","Squamata","Snake","No","Yes","No"
"126","Mungos_mungo",1503.82,113,"Mungos_mungo ","Mungos_mungo","Mammal","Mongoose","No","Yes","No"
"127","Muscardinus_avellanarius",1163.7,9,"Muscardinus_avellanarius ","Muscardinus_avellanarius","Mammal","Rodent","No","No","No"
"128","Mygale",1756.57,198,"Mygale ","Mygale","Spider","Spider","No","Yes","No"
"129","Myocastor_coypus",1280.24,31,"Myocastor_coypus ","Myocastor_coypus","Mammal","Rodent","No","No","No"
"130","Naja_naja",1922.66,219,"Naja_naja ","Naja_naja","Squamata","Snake","No","Yes","Yes"
"131","Nasua_narica",1437.22,84,"Nasua_narica ","Nasua_narica","Mammal","Procyonide","No","No","No"
"132","Nasua_nasua",1361.33,62,"Nasua_nasua ","Nasua_nasua","Mammal","Procyonide","No","No","No"
"133","Necrosyrtes_monachus",1526.11,121,"Necrosyrtes_monachus ","Necrosyrtes_monachus","Bird","Raptor","No","No","No"
"134","Neofelis_nebulosa",1606.8,155,"Neofelis_nebulosa ","Neofelis_nebulosa","Mammal","Felidae","Yes","No","Yes"
"135","Nestor_meridionalis",1360.84,61,"Nestor_meridionalis ","Nestor_meridionalis","Bird","Bird (not Raptor)","No","No","No"
"136","Notechis_scutatus",1794.48,206,"Notechis_scutatus ","Notechis_scutatus","Squamata","Snake","No","Yes","Yes"
"137","Numida_meleagris",1490.9,106,"Numida_meleagris ","Numida_meleagris","Bird","Bird (not Raptor)","No","No","No"
"138","Nyctereutes_procyonoides",1392.19,71,"Nyctereutes_procyonoides ","Nyctereutes_procyonoides","Mammal","Canidae","No","Yes","No"
"139","Odonata",1554.4,140,"Odonata ","Odonata","Insect","Odonata","No","Yes","No"
"140","Odonata2",1544,137,"Odonata2 ","Odonata","Insect","Odonata","No","Yes","No"
"141","Oryctolagus_cuniculus",1077.42,5,"Oryctolagus_cuniculus ","Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"142","Oryctolagus_cuniculus2",910.72,1,"Oryctolagus_cuniculus2 ","Oryctolagus_cuniculus","Mammal","Lagomorpha","No","No","No"
"143","Otocolobus_manul",1475.69,99,"Otocolobus_manul ","Otocolobus_manul","Mammal","Felidae","No","Yes","No"
"144","Pamphagidae",1508.23,114,"Pamphagidae ","Pamphagidae","Insect","Orthoptere","No","No","No"
"145","Pan_paniscus",1409.64,79,"Pan_paniscus ","Pan_panisucs","Mammal","Primate","No","Yes","No"
"146","Pan_paniscus2",1455.43,90,"Pan_paniscus2 ","Pan_panisucs","Mammal","Primate","No","Yes","No"
"147","Pan_paniscus3",1403.02,78,"Pan_paniscus3 ","Pan_panisucs","Mammal","Primate","No","Yes","No"
"148","Pan_paniscus4",1369.44,65,"Pan_paniscus4 ","Pan_panisucs","Mammal","Primate","No","Yes","No"
"149","Pan_troglodytes",1502.27,109,"Pan_troglodytes ","Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"150","Pan_troglodytes2",1343.48,49,"Pan_troglodytes2 ","Pan_troglodytes","Mammal","Primate","Yes","No","Yes"
"151","Panthera_leo",1749.97,196,"Panthera_leo ","Panthera_leo","Mammal","Felidae","Yes","No","Yes"
