"","Name","EloScore","EloRank","Species","Group","Subgroup","PredatorPrimates","Predator","Dangerous","Interet"
"198","Sus_scrofa",1600.73,154,"Sus_scrofa","Mammal","Ungulate","No","No","Yes","Others"
"199","Tapirus_indicus",1376.18,70,"Tapirus_indicus","Mammal","Ungulate","No","No","No","Others"
"200","Taricha_torosa",1438.26,88,"Taricha_torosa","Squamata","Amphibia","No","Yes","No","Others"
"201","Tauraco_leucotis",1122.19,6,"Tauraco_leucotis","Bird","Bird(notRaptor)","No","No","No","Others"
"202","Testudo_hermanni",1147.94,7,"Testudo_hermanni","Squamata","Tortoise","No","No","No","Others"
"203","Thalassarche_cauta",1484.75,103,"Thalassarche_cauta","Bird","Bird(notRaptor)","No","No","No","Others"
"204","Theropithecus_gelada",1702.58,177,"Theropithecus_gelada","Mammal","Primate","No","No","No","Primate"
"205","Thomisus_onustus",1728.01,184,"Thomisus_onustus","Spider","Spider","No","Yes","No","Spider"
"206","Tockus_flavirostris",1515.9,119,"Tockus_flavirostris","Bird","Bird(notRaptor)","No","No","No","Others"
"207","Trichosurus_vulpecula",1434.64,86,"Trichosurus_vulpecula","Mammal","Marsupial","No","No","No","Others"
"208","Ursus_arctos_horribilis",1752.03,190,"Ursus_arctos_horribilis","Mammal","Ursus","Yes","No","Yes","Ursus"
"209","Ursus_maritimus",1752.14,191,"Ursus_maritimus","Mammal","Ursus","Yes","No","Yes","Ursus"
"210","Ursus_thibetanus",1705.93,178,"Ursus_thibetanus","Mammal","Ursus","No","Yes","Yes","Ursus"
"211","Varecia_rubra",1414.66,78,"Varecia_rubra","Mammal","Primate","No","No","No","Primate"
"212","Varecia_variegata",1338.7,55,"Varecia_variegata","Mammal","Primate","No","No","No","Primate"
"213","Vespula_germanica",1696.44,174,"Vespula_germanica","Insect","Hymenoptera","No","Yes","Yes","Others"
"214","Vicugna_pacos",1323.03,51,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"215","Vicugna_pacos2",1323.58,52,"Vicugna_pacos","Mammal","Ungulate","No","No","No","Others"
"216","Vicugna_vicugna",1230.48,20,"Vicugna_vicugna","Mammal","Ungulate","No","No","No","Others"
"217","Vipera_ammodytes",1910,218,"Vipera_ammodytes","Squamata","Snake","No","Yes","Yes","Snake"
"218","Vipera_aspis",1837.44,212,"Vipera_aspis","Squamata","Snake","No","Yes","Yes","Snake"
"219","Vulpes_zerda",1304.91,43,"Vulpes_zerda","Mammal","Canidae","No","Yes","No","Canidae"
"220","Zamenis_longissimus",1765.91,198,"Zamenis_longissimus","Squamata","Snake","No","Yes","No","Snake"
"221","Zoropsis_spinimana",1791.17,203,"Zoropsis_spinimana","Spider","Spider","No","Yes","No","Spider"
